,Prices,title,location,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Type_de_Carburant,boite_de_vitesse
0,,Ford kuga 2022,"Autre secteur, Fès",Kuga,Ford,35 000 - 39 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Manuelle
1,,Glc 63s essence hybride 2025,"Aïn Chock, Casablanca",Classe GLC,Mercedes-Benz,5 000 - 9 999,Neuf,2025,,5,Importée neuve,Essence,Automatique
2,122 000 DH,Kia Picanto,"Safir, Tétouan",Picanto,Kia,25 000 - 29 999,Excellent,2024,Oui,5,WW au Maroc,Essence,Manuelle
3,75 000 DH,Citroën 2 cv,"Sidi Ghanem, Marrakech",2 CV,Citroen,90 000 - 94 999,Très bon,1980 ou plus ancien,Non,5,WW au Maroc,Essence,Manuelle
4,138 000 DH,Fiat Fiorino model 2024,"Hay Massira, Marrakech",Fiorino,Fiat,10 000 - 14 999,Excellent,2024,Oui,5,WW au Maroc,Diesel,Manuelle
5,690 000 DH,Audi A3 Sportback Diesel Automatique 2024 à Tanger,"Malabata, Tanger",A3,Audi,0 - 4 999,Neuf,2024,,5,Importée neuve,Diesel,Automatique
6,370 000 DH,Maserati Levante fin 2018,"Oasis, Casablanca",Levante,Maserati,120 000 - 129 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Automatique
7,190 000 DH,Renault Megane automatique Intense faible Km,"Autre secteur, Rabat",Megane,Renault,110 000 - 119 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
8,,kia niro 2022,"Autre secteur, Fès",Niro,Kia,80 000 - 84 999,Neuf,2022,Oui,5,WW au Maroc,Essence,Automatique
9,,Renault Arkana Hybride Automatique 2023 à Salé,"Hay Riad, Rabat",Arkana,Renault,0 - 4 999,Neuf,2023,Oui,5,WW au Maroc,Hybride,Automatique
10,,Dacia duster 2022,"Centre, Fès",Duster,Dacia,60 000 - 64 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Manuelle
11,,Hyundai creta 2022 automatic a tetouan,"Touabel, Tétouan",Creta,Hyundai,55 000 - 59 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Automatique
12,159 000 DH,Golf 7 Diwana 2023,"Ancienne Médina, Meknès",Golf 7,Volkswagen,200 000 - 249 999,Neuf,2014,Non,5,Dédouanée,Diesel,Manuelle
13,375 000 DH,Maserati Levante Diesel Automatique 2017,"Ain Sebaa, Casablanca",Levante,Maserati,140 000 - 149 999,Excellent,2017,Oui,5,Importée neuve,Diesel,Automatique
14,320 000 DH,Audi Q3 Diesel Automatique 2019 à Casablanca,"2 Mars, Casablanca",Q3,Audi,90 000 - 94 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
15,650 000 DH,Land Rover Range Rover Sport Diesel Automatique,"Hay Riad, Rabat",Range Rover Sport,Land Rover,80 000 - 84 999,Excellent,2018,Oui,5,Importée neuve,Diesel,Automatique
16,118 000 DH,kia Picanto 2021,"Hay Massira, Marrakech",Picanto,Kia,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Essence,Manuelle
17,,Audi Q2 Diesel Automatique 2020 à Casablanca,"Aïn Chock, Casablanca",Q2,Audi,140 000 - 149 999,Excellent,2020,,,Dédouanée,Diesel,Automatique
